03 Jan 2017 04:31 AM --|-- 2.5hr

03 Jan 2017 07:02 AM --|-- 1.1hr

03 Jan 2017 08:56 AM --|-- 0.2hr

03 Jan 2017 09:07 AM --|-- 0.0hr

03 Jan 2017 09:10 AM --|-- 0.0hr

03 Jan 2017 09:26 AM --|-- 0.6hr

04 Jan 2017 03:12 AM --|-- 0.9hr

04 Jan 2017 06:24 AM --|-- 0.0hr

04 Jan 2017 06:26 AM --|-- 0.8hr

04 Jan 2017 07:58 AM --|-- 0.7hr

04 Jan 2017 10:19 AM --|-- 0.7hr

05 Jan 2017 06:18 AM --|-- 0.2hr

09 Jan 2017 05:10 AM --|-- 1.0hr

10 Jan 2017 01:16 AM --|-- 0.5hr

11 Jan 2017 07:50 AM --|-- 0.7hr

11 Jan 2017 08:38 PM --|-- 0.2hr

11 Jan 2017 09:01 PM --|-- 0.0hr

12 Jan 2017 04:37 AM --|-- 0.0hr

12 Jan 2017 04:41 AM --|-- 0.6hr

12 Jan 2017 05:20 AM --|-- 0.7hr

12 Jan 2017 07:09 AM --|-- 0.7hr

12 Jan 2017 07:53 AM --|-- 0.4hr

13 Jan 2017 12:12 AM --|-- 1.3hr

13 Jan 2017 01:37 AM --|-- 0.1hr

13 Jan 2017 06:56 AM --|-- 1.5hr

13 Jan 2017 10:52 AM --|-- 0.4hr

14 Jan 2017 04:23 AM --|-- 0.6hr

14 Jan 2017 05:21 AM --|-- 0.2hr

14 Jan 2017 06:41 AM --|-- 1.7hr

14 Jan 2017 08:27 AM --|-- 0.1hr

14 Jan 2017 08:32 AM --|-- 1.5hr

14 Jan 2017 10:49 AM --|-- 0.3hr

15 Jan 2017 06:30 AM --|-- 0.1hr

15 Jan 2017 09:06 AM --|-- 0.0hr

15 Jan 2017 09:09 AM --|-- 0.5hr

15 Jan 2017 09:40 AM --|-- 0.5hr

15 Jan 2017 07:36 PM --|-- 1.1hr

16 Jan 2017 02:33 AM --|-- 0.0hr

16 Jan 2017 02:56 AM --|-- 0.1hr

16 Jan 2017 04:12 AM --|-- 0.4hr

16 Jan 2017 04:36 AM --|-- 1.4hr

16 Jan 2017 10:08 PM --|-- 0.0hr

17 Jan 2017 09:21 PM --|-- 0.1hr

18 Jan 2017 01:44 AM --|-- 0.7hr

18 Jan 2017 08:05 AM --|-- 0.6hr

19 Jan 2017 09:08 AM --|-- 0.7hr

19 Jan 2017 09:53 AM --|-- 0.0hr

19 Jan 2017 09:57 AM --|-- 0.7hr

19 Jan 2017 10:42 AM --|-- 0.1hr

19 Jan 2017 04:27 PM --|-- 0.2hr

20 Jan 2017 12:03 PM --|-- 1.0hr

20 Jan 2017 01:03 PM --|-- 0.0hr

20 Jan 2017 06:21 PM --|-- 2.3hr

20 Jan 2017 09:00 PM --|-- 0.2hr

21 Jan 2017 12:07 AM --|-- 0.9hr

21 Jan 2017 08:28 AM --|-- 0.4hr

21 Jan 2017 10:15 AM --|-- 0.1hr

21 Jan 2017 08:49 PM --|-- 0.8hr

23 Jan 2017 09:22 AM --|-- 0.2hr

23 Jan 2017 03:16 PM --|-- 0.1hr

23 Jan 2017 03:23 PM --|-- 0.2hr

23 Jan 2017 03:35 PM --|-- 0.0hr

23 Jan 2017 03:37 PM --|-- 0.2hr

23 Jan 2017 03:48 PM --|-- 0.0hr

23 Jan 2017 03:49 PM --|-- 0.1hr

23 Jan 2017 03:57 PM --|-- 0.0hr

23 Jan 2017 03:58 PM --|-- 0.1hr

24 Jan 2017 05:24 AM --|-- 0.2hr

24 Jan 2017 05:51 AM --|-- 0.7hr

24 Jan 2017 08:45 AM --|-- 0.3hr

24 Jan 2017 08:21 PM --|-- 0.2hr

25 Jan 2017 01:03 AM --|-- 0.3hr

25 Jan 2017 05:10 AM --|-- 0.8hr

25 Jan 2017 09:29 PM --|-- 0.2hr

26 Jan 2017 09:23 AM --|-- 0.5hr

26 Jan 2017 12:27 PM --|-- 0.1hr

27 Jan 2017 01:21 AM --|-- 0.1hr

27 Jan 2017 01:07 PM --|-- 1.5hr

27 Jan 2017 03:25 PM --|-- 0.0hr

28 Jan 2017 04:19 AM --|-- 0.6hr

